province_state	Country_region	Avg.Tem.Jan	Avg.Tem.Feb	Avg.Tem.Mar	Avg.Precipitation.Jan	Avg.Precipitation.Feb	Avg.Precipitation.Mar
Afghanistan	Afghanistan	0.9	3	8.4	43.9	55.7	73.4
Albania	Albania	5.8	6.7	8.5	147.6	136.4	106.6
Algeria	Algeria	9.2	10.4	12.3	58.9	53.6	49.3
Angola	Angola	22.3	22.6	22.8	131.7	126.6	175.8
Argentina	Argentina	23.8	22.9	20.8	105.4	96.2	106.3
Armenia	Armenia	-6.2	-4.5	0.3	21.8	26.8	36.6
Australia	Australia	22.9	22.7	21	85.2	84.2	78.2
Austria	Austria	-2.6	-1.3	2.5	54.4	48.3	65
Azerbaijan	Azerbaijan	1	1.9	6	26.1	31.7	42.2
Bangladesh	Bangladesh	18.7	21.2	25.5	8.9	22.1	48.1
Belgium	Belgium	1.6	2.1	5	72.6	51.6	64.3
Belize	Belize	22.7	23.4	24.9	106.8	59.8	47.9
Benin	Benin	26.9	28.6	29.3	6.2	20.2	58.8
Bhutan	Bhutan	7.5	9.6	12.7	11	25.7	25.5
Bolivia	Bolivia	18.9	18.7	18.5	156.7	138.2	109
Bosnia and Herzegovina	Bosnia and Herzegovina	0.2	1.6	5.5	84.6	79.6	79
Botswana	Botswana	25.7	24.9	23.8	91.2	80.3	56.1
Brazil	Brazil	25.6	25.6	25.2	95.6	115.8	161.3
Brunei	Brunei	26	26.5	26.5	315	165	130
Bulgaria	Bulgaria	-0.6	0.4	3.9	47	40.5	45.8
Burkina Faso	Burkina Faso	24.8	27.7	30.7	0.8	1.8	8.6
Burundi	Burundi	20.1	20.2	20.1	141.9	137.5	164
Byelarus	Byelarus						
Cambodia	Cambodia	25.1	26.6	28.1	8.1	15.3	40.2
Cameroon	Cameroon	23.7	24.9	25.5	16.7	36.2	111.3
Canada	Canada	-11	-9.1	-4	77	57.9	60.6
Central African Republic	Central African Republic	24.6	26.2	26.9	10.8	22.6	76.3
Chad	Chad	23.8	26.3	29.6	0	0.2	2.7
Chile	Chile	16.3	16.1	14.7	46.7	45.4	60.3
China	China	-0.4	1.6	7.1	22.4	33.2	51.9
Colombia	Colombia	23.6	23.9	24.1	81.3	85.8	110
Congo	Congo						
Costa Rica	Costa Rica	24.1	24.6	25.3	86.5	58.7	58.2
Croatia	Croatia	3.8	4.6	8	80.7	67.7	77.5
Cuba	Cuba	22.5	22.6	23.8	36.2	34.9	39.1
Cyprus	Cyprus	11.4	11.7	13.3	75.1	61.8	44.5
Czech Republic	Czech Republic	-2.2	-1.2	2.1	35.2	33.3	39
Denmark	Denmark	0.5	0.2	1.9	43.1	30.9	36.1
Djibouti	Djibouti	24.1	24.9	26.2	9.6	8.1	17.7
Dominican Republic	Dominican Republic	23.1	23.4	24.2	73.6	65	65.8
Ecuador	Ecuador	20.4	20.5	20.7	122.7	154.4	166.6
Egypt	Egypt	13.5	14.7	17.3	11.2	6.8	4.8
El Salvador	El Salvador	22.6	22.7	24.1	7.6	2.3	12.3
Equatorial Guinea	Equatorial Guinea	24.9	25.3	25.1	103.9	122	217.3
Eritrea	Eritrea	20	20.8	22.5	6.7	6.9	9
Estonia	Estonia	-4.2	-4.8	-1.4	44.9	33.2	34.5
Ethiopia	Ethiopia	18.4	19.5	20.5	20.2	32.1	63.2
Finland	Finland	-8.2	-8.2	-4.6	37.1	27.5	26.5
France	France	4	4.7	7.5	65	56.4	54.9
French Guiana	French Guiana	25.2	25.4	25.5	336	273.3	340.1
