Country/Economy,GDP_USD,GDPpc_USD,pop
Afghanistan,210.74 ,577.00 ,3652.34 
Albania,156.35 ,5448.00 ,286.99 
Algeria,2001.71 ,4646.00 ,4308.46 
Angola,1101.86 ,3666.00 ,3005.62 
Anhui,4454.61 ,7082.73 ,6289.40 
Antigua and Barbuda,16.93 ,18166.00 ,9.32 
Argentina,4080.30 ,9055.00 ,4506.13 
Armenia,133.02 ,4447.00 ,299.12 
Aruba,28.52 ,25229.00 ,11.30 
Australia,14644.10 ,57204.00 ,2559.98 
Austria,4696.61 ,52474.00 ,895.04 
AZ,3467.90 ,43464.00 ,797.88 
Azerbaijan,480.69 ,4779.00 ,1005.84 
Bahrain,416.07 ,27538.00 ,151.09 
Bangladesh,3135.09 ,1882.00 ,16658.29 
Barbados,52.07 ,18452.00 ,28.22 
Beijing,4439.24 ,20447.90 ,2171.00 
Belarus,599.64 ,6372.00 ,941.05 
Belgium,5451.86 ,47532.00 ,1146.99 
Belize,19.87 ,4890.00 ,40.63 
Benin,113.86 ,971.00 ,1172.61 
Bhutan,28.39 ,3419.00 ,83.04 
Bolivia,450.45 ,3942.00 ,1142.69 
Bosnia and Herzegovina,207.20 ,5917.00 ,350.18 
Botswana,197.77 ,8317.00 ,237.79 
Brazil,19297.10 ,9160.00 ,21066.70 
Brunei Darussalam,152.03 ,34559.00 ,43.99 
Bulgaria,662.42 ,9504.00 ,696.99 
Burkina Faso,153.51 ,768.00 ,1998.83 
Burundi,35.73 ,310.00 ,1152.58 
C?te d'Ivoire,493.95 ,1880.00 ,2627.39 
CA,29681.20 ,68803.00 ,4313.94 
Cabo Verde,20.58 ,3734.00 ,55.12 
Cambodia,263.72 ,1599.00 ,1649.28 
Cameroon,401.25 ,1573.00 ,2550.86 
Canada,18203.60 ,48601.00 ,3745.52 
Central African Republic,25.36 ,490.00 ,517.55 
Chad,117.58 ,918.00 ,1280.83 
Chile,3055.56 ,16277.00 ,1877.23 
China,141722.00 ,10099.00 ,140332.71 
Chongqing,2981.41 ,9695.63 ,3075.00 
Colombia,3551.63 ,7049.00 ,5038.49 
Comoros,7.45 ,854.00 ,87.24 
Costa Rica,639.48 ,12567.00 ,508.86 
Croatia,615.86 ,15137.00 ,406.86 
Cyprus,249.96 ,28888.00 ,86.53 
Czech Republic,2644.98 ,24938.00 ,1060.62 
Democratic Republic of the Congo,461.17 ,502.00 ,9186.65 
Denmark,3621.50 ,62041.00 ,583.73 
Djibouti,23.92 ,2218.00 ,107.84 
Dominica,5.39 ,7626.00 ,7.07 
Dominican Republic,858.16 ,8267.00 ,1038.05 
Ecuador,1084.01 ,6278.00 ,1726.68 
Egypt,2981.53 ,3005.00 ,9921.90 
El Salvador,269.21 ,4189.00 ,642.66 
Equatorial Guinea,129.62 ,14615.00 ,88.69 
Eritrea,77.20 ,1253.00 ,616.12 
Estonia,311.79 ,23654.00 ,131.81 
Eswatini,48.65 ,4133.00 ,117.71 
Ethiopia,881.70 ,922.00 ,9562.91 
Fiji,55.63 ,6231.00 ,89.28 
Finland,2820.13 ,50879.00 ,554.28 
France,28447.00 ,43500.00 ,6539.54 
Fujian,5240.12 ,13398.41 ,3911.00 
FYR Macedonia,127.83 ,6143.00 ,208.09 
Gabon,177.99 ,8556.00 ,208.03 
Gansu,1197.66 ,4569.47 ,2621.00 
Georgia,178.36 ,4806.00 ,371.12 
Germany,41170.70 ,49692.00 ,8285.18 
