"Variabls","pearson.cor","p1","spearman.cor","p2"
"GDP.pc",0.629622463862259,0.000252647583244666,0.452709359605911,0.0144601046867244
"GDP",-0.180527785440951,0.348686667851746,-0.174384236453202,0.364018027477828
"Pop.density",-0.0695487451272536,0.719975602140206,-0.139901477832512,0.467527881940458
"Elev",-0.0031413233493107,0.987096830501753,0.00295566502463054,0.988795086205766
"PM10",-0.109769512931857,0.57082129957732,-0.224630541871921,0.240340792434898
"Pop",-0.368912883928798,0.0489116330731794,-0.427586206896552,0.0215452968388855
"Avg.Tem.Jan",-0.33876178013732,0.0722373122633884,-0.23448275862069,0.219912792934666
"Avg.Tem.Feb",-0.337032158048419,0.0737983338667003,-0.254711173258544,0.182386297021418
"Avg.Tem.Mar",-0.370696343041664,0.0477460526860972,-0.285256807188969,0.133627732243203
"Avg.Pre.Jan",0.168707713096735,0.381655212009891,0.349261083743842,0.0639379818126657
"Avg.Pre.Feb",0.21820335457311,0.255478942825791,0.352506468987404,0.0607216826814411
"Avg.Pre.Mar",0.168260162199398,0.382937871530508,0.368965517241379,0.049644055623687
"Commuting",0.542918837096524,0.00234085044639511,0.333497536945813,0.0775625523384437
"PM2.5",-0.140868695058314,0.466075672129917,-0.152254254435857,0.430426768789409
"Lat",0.382666576405832,0.0404814853111697,0.319704433497537,0.0912499139171394
"Avg.HT.Jan",-0.357227232242018,0.0571161850610985,-0.232512315270936,0.223899686143956
"Avg.HT.Feb",-0.356339160908018,0.0577813026032784,-0.276915504831559,0.145875545140825
"Avg.HT.Mar",-0.391363089662595,0.0357802936836897,-0.320482820511959,0.0900798584116293
"Avg.LT.Jan",-0.31798294787947,0.0927591811796522,-0.233004926108374,0.222898355392165
"Avg.LT.Feb",-0.315191480505841,0.0958218458780565,-0.239931027808338,0.209971926801433
"Avg.LT.Mar",-0.34862731455524,0.0638154488833251,-0.263119002811481,0.167878114611045
"expr_mw",0.358293033047819,0.0563259014403773,0.332512315270936,0.0784837886417115
"logit",0.810410888950279,9.91930034046388e-08,0.843946305206742,8.84825853127437e-09
"logit_mw",0.280459624625816,0.140576299592554,0.44858233854667,0.0146580542758854
"All.BMI",0.246803162906842,0.196811774879553,0.307654496372362,0.104472171382588
"Female.BMI",0.119242643737656,0.537828671854738,0.23909299117588,0.211616879797507
"Male.BMI",0.346688829078481,0.06540676320508,0.385298892637107,0.0390091894681315
"All.Obesity",0.249863713578938,0.191138269975181,0.200024635092783,0.298179859434301
"Female.Obesity",0.157133702682011,0.415619385570934,0.214338513526207,0.264202381017313
"Male.Obesity",0.330599570851356,0.079833011182161,0.228986998765353,0.232146856465686
"All.Underweight",-0.329042505576827,0.0813490507323747,-0.200371554685273,0.297325240455146
"Female.Underweight",-0.321517809938768,0.0889879289336451,-0.21605643260137,0.260301208887336
"Male.Underweight",-0.327809124662782,0.0825654928998558,-0.131232976295359,0.49741112166242
"UV",-0.421247799235969,0.0228592627603469,-0.324630541871921,0.0861633589080621
"Impro.sanit",0.261600267786923,0.178721228812036,0.199570671141796,0.308596653290257
"Impro.water",0.141324599934943,0.473165932619794,0.23008103794801,0.238855910734565
"CO2.pc",0.303562504451565,0.109406918303191,0.263546798029557,0.166703464886958
"Extreme.Climate",-0.347467579081509,0.0700290079491463,-0.313253059022871,0.104555535956136
"Energy.pc",0.514755657669267,0.00427446672706978,0.222167487684729,0.24564149898306
"Energy.pGDP",0.216480094181187,0.25934493827156,-0.227093596059113,0.235117819969124
"FDI",0.185827220582996,0.334478159926589,-0.0798029556650246,0.679713040697746
"Paved.roads",0.218140918546601,0.255618349781784,0.263080575154833,0.167942505557954
"Physicians",0.349933534593556,0.0627602822967776,0.373399014778325,0.0468110499350575
"Mortality.under5",-0.232810862049376,0.22422770487876,-0.212965303480371,0.267347962434907
"Urban.pop",0.307599184986313,0.104537743134215,0.186699507389163,0.33067789316669
"N2O.pc",0.364082969672958,0.0521815375868355,0.235467980295566,0.217937751487415
"CH4.pc",0.308566676257741,0.103395217712861,0.12512315270936,0.516238403980682
"log.GDPpc",0.48613122470814,0.00750062952514536,0.452709359605911,0.0144601046867244
